
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
别络 别络 络咏之较大者，为本经别走邻经之络脉．十二经脉与任督二脉各有一支别络，再加脾之大络，合为十五别络。《难经·二十三难》：“别络十五，皆因其原，如环无端，转拐灌溉，朝于寸口人迎，以处百病而决生死也。”
冰瑕翳 冰瑕翳 病证名。又称冰瑕障．即小的轻度的角膜溃疡愈后留下的如冰如瑕的点片状云翳。对视力无影响或有轻度影响。
并病 并病 一经之证未了，它经之证又起。
并月 并月 见《医宗金鉴·妇科心法要诀》。指妇女月经两月来一次，而身体无病者。
并中髓 并中髓 容易中伤骨髓之意。
拨法 拨法 推拿手法。又名拨络法、弹拨法。用手指按于穴位上或患处，适当用力来回拨动。具有解痉止痛和松解粘连的作用。
拨络法 拨络法 即揉法、拨法。
泊肠痔 泊肠痔 病名。出自《治疡经验全书》。指紧贴肛门的痔疮。
补火生土 补火生土 根据五行相生的理论，使用壮肾阳的方剂或药物以温补脾气的方法。是一种间接治法，临床上多用于脾虚寒之证，如体倦泛力、食欲不振，便溏腹痛、四肢恶寒、舌质淡胖、苔白润、脉沉迟等。
补剂　 补剂　 补是补益，“补可扶弱”，补益方剂可以扶助衰弱的病体，有各种补益的方剂，如中气虚，消化力弱用四君子汤；脾肺气虚用参茸膏；营血虚滞用四物汤；阳虚火衰用肾气丸；阴虚内热用地黄丸等．
补可去弱 补可去弱 指用补益的方药可以治疗虚弱的病证。
补脾摄血 补脾摄血 又称补脾统血、补气摄血，是治疗脾不统血、气不摄血所致的出血证侯的方法。其适应证为：①月经先期，血量较多，色淡质稀，脉虚弱无力；②下血紫暗或先便后血，脘腹隐痛，面色晄白，脉细弱；⑧反复皮下出血，神疲乏力，心悸头晕，脉细弱；④上消化道出血等。常用方剂多以归脾汤加减。
补脾统血 补脾统血 即补脾摄血。
补脾益气 补脾益气 即补中益气。常用方剂为补中益气汤、四君子汤等。
补气 补气 补法之一。也称益气。气，指机体内的各种功能。补气就是补益机体的功能，使之恢复正常的治疗方法。功能不足即是气虚，主要表现于心、脾、肺、肾四脏。①心气虚主要表现为面色晄白、心悸、气短、自汗、舌淡苔薄、脉细弱或结代，治疗宜补益心气，方用四君子汤加味。②脾气虚主要表现为面色萎黄、倦怠无力、饮食减退、胃脘满闷、嗳气吐酸、腹胀便溏、脉濡弱等，治宜补中益气，方用补中益气汤。⑧肺气虚主要表现为咳嗽无力、痰多清稀、喘促短气、声音低弱，疲乏自汗、面色咣白、舌淡苔薄、脉象虚弱等，治宜补益肺气，方用补肺汤。④肾气虚主要表现为面色晄白、腰脊酸痛、尿频而清、夜尿多；甚或余沥不禁、滑精早泄、苔白脉沉细等，治宜固摄肾气，方用茯菟丸加味。
补气安神 补气安神 用于病后心气虚弱、心悸气短的一种方剂。常用者为《证治准绳》的养心汤．
补气固表 补气固表 气虚卫外功能不固的人，多自汗，容易感冒，用补气的药物以加强其敛汗力和抗病力就叫补气固表。常用方剂为玉屏风散。
补气解表 补气解表 即益气解表。是对于平素气虚而患外感表证的一种治疗方法。方中由补气药和解表药两部分组成。
补气摄血 补气摄血 即补脾摄血。
补气止血 补气止血 是一种治疗气虚而长时间出血不止的疗法。常用药物为党参、黄芪、艾叶、白术、云苓，熟地、炙甘草等。
补肾 补肾 补法之一。是补先天之本——肾的治疗方法。可分为扑(滋)肾阴和补肾阳两类。详见各条。补法也称补益、补养。八法之一。·对虚证给以补养剂的治疗方法。针对气虚、血虚、阴虚、阳虚构不同，有补气、补血、补阴、补阳等方法。如阴阳具虚应阴阳双补。气血双虚应气血双补，由于阴阳气血是互根的，所以补阴的同时应加适量的补阳药；补血的同时，应加适量的补气药；补阳和补气时也应加适量的糕点阴药和补血药。另外，若虚损和病邪并，应攻补兼施，单纯用补法，反有留邪之弊。
补肾纳气 补肾纳气 治疗肾虚不能纳气的方法。主要应用于身体虚寒的气喘证。多选用温阳补气，兼有收涩滋阴作用的一类药物。如党参、胡桃肉、补骨脂、山萸肉、五味子、熟地等。
补土派 补土派 金元时期中医学中的一个学术流派，以李杲为代表。见金元四大家条。
补息 补息 气功术语。前人练功经验，以吸气为补，呼气为泻；吸气后停闭为补，呼气后停闭为泻；吸多呼少为补，吸少呼多为泻。
补泻 补泻 补是补益，泻是疏泄。补泻在针灸上也是两个重要的手法，和药物治疗一样，对实证用泻法，对虚证用补法。针灸上的补泻手法很多，主要有“迎随补泻”、“呼吸补泻”、“提插补泻”、“疾徐补泻”、“捻转补泻”、“开合补泻”、“五行补泻”等。现在在临床针刺中，以平补平泻为主。
补血 补血 也称养血。补法之一．是治疗血虚证的方法。血虚的临床表现有面色萎黄，口唇淡白、头晕跟花、神疲气短、心悸失眠、手足发麻、爪甲不荣、女子经少色淡、舌质淡嫩、脉象细数等。治疗血虚的代表方剂是四物汤。如血虚伴有气短、声低、倦怠乏力等气虚症状时，应气血双补，用八珍汤。对于血脱导致的气虚欲脱，出现肌肤燥热、面红耳赤、心烦口渴、喜饮、脉洪大而虚，以及妇女经产后、痈疽溃破后血虚发热的，可用当归补血汤。
补阳 补阳 补法之一。也称助阳。阳，阳气，有功能和能量的含义。补阳，用于阳虚证，是增强内脏功能的一种治疗方法。阳虚有心阳虚、脾阳虚、肾阳虚的不同。由于肾为先天之本，元气之根，所以补阳主要以补肾为主。①肾阳虚证主要表现为腰膝冷痛、酸软无力、阳萎滑精、胕肿、飧泄、小便频数、舌淡苔薄、脉象沉弱等，治宜温补肾阳，方用右归饮。②心阳虚证主要表现为心悸、气短、胸闷、自汗或大汗出、四肢厥冷或下肢浮肿、舌淡苔薄、脉微弱等，治宜温补心阳，方用附子汤加减。⑧脾阳虚证主要表现胃脘隐痛、喜热喜按、口泛清水、呃逆呕吐、纳差腹胀、大便溏薄、舌淡苔薄、脉象沉细，宜温中健脾：方用桂附理中汤。
补阴 补阴 又称益阴、养阴、育阴，滋阴．阴，阴液，类似于今之体液。补阴就是解除体液不足的治疗方法。五脏皆可阴虚。胃也常有阴虚，一般和脾虚同时存在。①心阴虚证主要表现为心悸、少寐、虚烦、健忘、舌红少苔、脉象细数，治宜养心宁神，方用补心丹。②朋：阴虚证的主要表观为头晕目眩、善怒、肢麻、胁痛、手足心热、指甲无华、遗精、月经不调、舌细少苔、脉弦细而数，治宜养血柔肝，方用杞菊地黄丸。⑧脾胃阴虚证主要表现为口唇干燥、口淡泛味、口渴喜饮、饮食减少、大便干结、舌红干少苔、脉细数等，治宜清胃养阴，方用清胃养阴汤。④肺阴虚证主要表现为咳嗽气喘、咽喉燥痛、痰稠带血、两颧腓红、手足心热、心音低微、潮热盗汗、脉象细数，治宜滋肾润肺，方用百合固金汤。⑥肾阴虚的主证有头晕耳鸣、腰酸腿软、虚烦少寐、遗精早泄、舌红苔薄、脉细数等，治宜滋补肾阴，方用六味地黄丸。
补中益气 补中益气 即补脾益气，是一种用健脾法洽疗气虚证的方法。
不传 不传 伤寒病的病情不再发展，且有转愈之机。
不得眠 不得眠 即失眠。
不得前后 不得前后 前指小便，后指大便，意即大小便都不通畅。
不得卧 不得卧 即失眠。
不得息 不得息 形容呼吸困难。
不更衣 不更衣 即不解大便。古人到厕所去，假托为更衣。
不和 不和 运气术语。岁运的五行属性对司天的五行属性成为相克关系的称为“不和”。如丙子、丙午年份，司天之位高，岁运之位低，以下犯上，其势不足，故称“不和”。
不衡 不衡 不正常。
不间脏 不间脏 间是按木、火、土、金、水五行顺序相生。隔一，谓之相克。不间脏为传其所克。
不精 不精 指老年人。取精气不足之意。《素问·评热病论》：“巨阳引精者三日，中年者五日，不精者七日”。
不惧于药 不惧于药 不受外界事物的引诱。
不可余药 不可余药 ①不可多用其它药。②连药渣一起服下，以前　说较妥。
不寐 不寐 即不得眠、不得卧。失眠也。
不内外因 不内外因 病因之一。意即既不属于内因也不属于外因，介于两者之间的致病崓经。实际上属于外因的范畴，为发病的条件。见《三因极一病症方论》。
不能眴 不能眴 双眼不能转动。眴，动目也。
不仁 不仁 麻木不知痛痒。
不日 不日 不能到一整天的时间。
不乳 不乳 新生儿不会吮乳。其原因有二：一因恶秽瘀血放于腹于，胎粪未下，不能吮乳。二为母体贪凉过度，胎中受寒，或生下受凉不能吮乳。
不收 不收 ①不能收缩。②麻木不仁。
不啼 不啼 婴儿生下来不会啼哭。婴儿生下立即啼哭，开始呼吸，这是正常现象。若生后不能啼哭，则气机闭塞，甚至会闭闷而死，一般称为“婴儿伪死”、“闷气生”、“梦生”或“草迷”。需紧急救之。
不相有 不相有 不相适应之意。
不用 不用 不能举动。
不育 不育 常指男性无生殖能力。多因生殖器官的发育不全，畸形缺损等原因造成。
不月 不月 即闭经
不孕 不孕 指妇女婚后三年而不妊娠者。
不彰 不彰 活不自然寿限。
不直手 不直手 脉搏不应手之意。《素问·大奇论》：“脉至如丸滑不直手，不直手者按之不可得也”。
不足 不足 麻痹，不能走路或活动。《素问·气穴论》：“内为骨痹，外为不仁，命曰不足，大寒留于溪谷也。”
布气 布气 气功术语。其法是练功者先问明患者痛苦之处，然后乃取自己已调之真气通过口或手掌布散于患者身上，可消除患者的病痛。
布指 布指 安排切诊手指部位的方法，对成人切脉，先用中指按在掌后高骨内侧的关部，然后食指按在关部前面的寸位上，无名指按在关部后的尺位上。三指呈弓形按在桡动脉的走行线上。用指肚接触脉体，便于按寻。三指距离的疏密，可以根据病人高矮，前膊的长短来适当调整。小儿寸口脉部位小，可用一个食指肚切脉。而不细分三部。对三岁以下小儿则用察看指纹的方法代替切脉。
步 步 ①表示脚步。引申为举足两次为“一步”。又引申为六尺(举足两步，约等于古代的六尺)。这是量地的单位，三百步为一里。②古天文学的长度单位。地球绕太阳一周为六步，合三百六十五度。故每步约等于六十点八度。《素问·六微旨大论》：“所谓步者，六十度而有奇”。
苍帝 苍帝 迷信的说法，指东方的天地。
苍龙摆尾 苍龙摆尾 ①小儿推拿方法。出《小儿推拿广意》。医者右手持小儿左食、中、无名三指，掌向上，左手掌侧从总经起，搓摩天河至科肘，略重，又搓摩至总经。如此往复三、四次。然后一手握住肘部，—手握住手指，摇动九次。能退热开胸。②针刺手法；即青龙摆尾。
